,代號,股票名稱,上市日,市場別,產業別
8091,3522,御頂,2007-10-15,上櫃,觀光事業
8092,3523,迎輝,2007-11-16,上櫃,光電業
8093,3526,凡甲,2007-11-02,上櫃,電子零組件業
8094,3527,聚積,2007-10-29,上櫃,半導體業
8095,3529,力旺,2011-01-24,上櫃,半導體業
8096,3531,先益,2008-04-08,上櫃,光電業
8097,3537,堡達,2010-01-25,上櫃,電子零組件業
8098,3540,曜越,2007-12-12,上櫃,電腦及週邊設備業
8099,3541,西柏,2009-12-22,上櫃,其他電子業
8100,3546,宇峻,2008-04-18,上櫃,文化創意業
8101,3548,兆利,2008-03-27,上櫃,電子零組件業
8102,3551,世禾,2008-04-15,上櫃,其他電子業
8103,3552,同致,2009-01-07,上櫃,其他電子業
8104,3555,重鵬,2011-11-08,上櫃,半導體業
8105,3556,禾瑞亞,2008-04-15,上櫃,半導體業
8106,3558,神準,2013-12-30,上櫃,通信網路業
8107,3564,其陽,2013-12-03,上櫃,通信網路業
8108,3567,逸昌,2010-11-22,上櫃,半導體業
8109,3570,大塚,2008-10-23,上櫃,資訊服務業
8110,3577,泓格,2009-01-06,上櫃,電腦及週邊設備業
8111,3580,友威科,2010-07-09,上櫃,其他電子業
8112,3581,博磊,2015-01-20,上櫃,半導體業
8113,3587,閎康,2009-08-18,上櫃,其他電子業
8114,3594,磐儀,2013-05-07,上櫃,電腦及週邊設備業
8115,3597,映興,2020-03-09,上櫃,電子零組件業
8116,3609,三一東林,2011-01-11,上櫃,電子零組件業
8117,3611,鼎翰,2008-11-26,上櫃,電腦及週邊設備業
8118,3615,安可,2009-04-15,上櫃,光電業
8119,3623,富晶通,2010-04-28,上櫃,光電業
8120,3624,光頡,2011-03-16,上櫃,電子零組件業
8121,3625,西勝,2009-10-28,上櫃,電腦及週邊設備業
8122,3628,盈正,2010-09-09,上櫃,其他電子業
8123,3629,地心引力,2020-06-01,上櫃,文化創意業
8124,3630,新鉅科,2010-04-26,上櫃,光電業
8125,3631,晟楠,2010-12-20,上櫃,電子零組件業
8126,3632,研勤,2011-01-11,上櫃,通信網路業
8127,3642,駿熠電,2011-09-29,上櫃,其他電子業
8128,3646,艾恩特,2012-03-27,上櫃,電子零組件業
8129,3652,精聯,2009-08-27,上櫃,電腦及週邊設備業
8130,3663,鑫科,2012-11-20,上櫃,其他電子業
8131,3664,安瑞-KY,2010-06-24,上櫃,通信網路業
8132,3666,光耀,2014-12-04,上櫃,光電業
8133,3672,康聯訊,2015-04-20,上櫃,通信網路業
